path,id,n,type,actual_id,priority,action,problems
extracted-jpgs/stone/10326-2016_07_12_11_45_23-1_002PDF-000.jpg,stone-10326,3,drawing,flint-10326,0,,dup axe no
extracted-jpgs/stone/60045-2016_07_12_09_35_10-3_039PDF-000.jpg,stone-60045,4,info,,,,
extracted-jpgs/stone/60045-2016_07_12_09_35_10-3_041PDF-000.jpg,stone-60045,4,drawing,,,,
extracted-jpgs/stone/60045-2016_07_12_12_43_03-1_025PDF-000.jpg,stone-60045,4,info,no number,,,"no material, unprov."
extracted-jpgs/stone/60045-2016_07_12_12_43_03-1_026PDF-000.jpg,stone-60045,4,drawing,no number,,,"no material, unprov."
extracted-jpgs/stone/60057-2016_07_12_09_40_59-1_013PDF-000.jpg,stone-60057,4,info,,,,
extracted-jpgs/stone/60057-2016_07_12_09_40_59-1_014PDF-000.jpg,stone-60057,4,drawing,,,,
extracted-jpgs/stone/60057-2016_07_12_11_45_23-1_011PDF-000.jpg,stone-60057,4,info,,,,"no measurements, axe no crossed out"
extracted-jpgs/stone/60057-2016_07_12_11_45_23-1_012PDF-000.jpg,stone-60057,4,drawing,,,,
extracted-jpgs/stone/60089-2016_07_12_09_45_03-3_030PDF-000.jpg,stone-60089,1,drawing,,,,
extracted-jpgs/stone/60193-2016_07_12_10_09_27-3_015PDF-000.jpg,stone-60193,1,info,,,,
extracted-jpgs/stone/60193a-2016_07_12_10_09_27-3_016PDF-000.jpg,stone-60193a,1,drawing,,,,
extracted-jpgs/stone/60193b-2016_07_12_10_09_27-3_017PDF-000.jpg,stone-60193b,1,drawing,,,,
extracted-jpgs/stone/60198-2016_07_12_10_13_41-4_001PDF-000.jpg,stone-60198,4,info,,,,"dup axe no, small axe"
extracted-jpgs/stone/60198-2016_07_12_10_13_41-4_002PDF-000.jpg,stone-60198,4,drawing,,,,"dup axe no, small axe"
extracted-jpgs/stone/60198-2016_07_12_11_52_46-3_009PDF-000.jpg,stone-60198,4,info,,,,"dup axe no, langdale axe"
extracted-jpgs/stone/60198-2016_07_12_11_52_46-3_010PDF-000.jpg,stone-60198,4,drawing,,,,"dup axe no, langdale axe"
extracted-jpgs/stone/60199-2016_07_12_10_13_41-4_003PDF-000.jpg,stone-60199,3,drawing,,,,
extracted-jpgs/stone/60199-2016_07_12_10_13_41-4_004PDF-000.jpg,stone-60199,3,drawing,,,,dup drawing
extracted-jpgs/stone/60199-2016_07_25-001008PDF-000.jpg,stone-60199,3,info,E,,,what does ‘E’ mean???
extracted-jpgs/stone/62016-2_001PDF-000.jpg,stone-62016,1,info,,,,
extracted-jpgs/stone/62039-2016_07_12_10_27_26-3_001PDF-000.jpg,stone-62039,1,info,,,,
extracted-jpgs/stone/62041-2016_07_12_10_27_26-3_004PDF-000.jpg,stone-62041,1,info,,,,
extracted-jpgs/stone/62042-2016_07_12_10_27_26-3_006PDF-000.jpg,stone-62042,1,info,,,,
extracted-jpgs/stone/62046-2016_07_12_10_27_26-3_014PDF-000.jpg,stone-62046,1,info,,,,
extracted-jpgs/stone/62047-2016_07_12_10_27_26-3_016PDF-000.jpg,stone-62047,1,info,,,,
extracted-jpgs/stone/70014-2016_07_12_10_44_12-1_027PDF-000.jpg,stone-70014,4,info,,,,"dup axe no, 0 measurements"
extracted-jpgs/stone/70014-2016_07_12_10_44_12-1_028PDF-000.jpg,stone-70014,4,drawing,,,,"dup axe no, 0 measurements"
extracted-jpgs/stone/70014-2016_07_12_11_45_23-1_013PDF-000.jpg,stone-70014,4,info,,,,"dup axe no, 1 measurement"
extracted-jpgs/stone/70014-2016_07_12_11_45_23-1_014PDF-000.jpg,stone-70014,4,drawing,,,,"dup axe no, 1 measurement"
extracted-jpgs/stone/70015-2016_07_12_10_44_12-1_029PDF-000.jpg,stone-70015,4,info,AT? blank,,,"dup axe no, worcester museum"
extracted-jpgs/stone/70015-2016_07_12_10_44_12-1_030PDF-000.jpg,stone-70015,4,drawing,,,,"dup axe no, worcester museum"
extracted-jpgs/stone/70015-2016_07_12_11_45_23-1_009PDF-000.jpg,stone-70015,4,info,,,,"dup axe no, avebury museum"
extracted-jpgs/stone/70015-2016_07_12_11_45_23-1_010PDF-000.jpg,stone-70015,4,drawing,,,,"dup axe no, avebury museum"
extracted-jpgs/stone/80006-2016_07_12_11_06_02PDF-000.jpg,stone-80006,4,info,,,,"dup axe no, cardiff"
extracted-jpgs/stone/80006-2016_07_12_11_06_05PDF-000.jpg,stone-80006,4,drawing,,,,"dup axe no, cardiff"
extracted-jpgs/stone/80006-2016_07_12_12_43_03-1_009PDF-000.jpg,stone-80006,4,,crossed-out,,,"dup axe no, carmarthen"
extracted-jpgs/stone/80006-2016_07_12_12_43_03-1_010PDF-000.jpg,stone-80006,4,,crossed-out,,,"dup axe no, carmarthen"
extracted-jpgs/stone/90021-2016_07_12_12_43_03-1_043PDF-000.jpg,stone-90021,1,drawing,none,,,
